Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
19,Steve Bardo,1996,1996,1,9,123,9,23,0,4,4,6,2,22,15,4,1,5,17,22,.391,.000,.667,13.7,2.4,2.4,1.7,0.4,0.1,bardost01
20,Marvin Barnes,1977,1978,2,65,1258,255,570,,,120,185,97,344,64,45,44,29,182,630,.447,,.649,19.4,9.7,5.3,1.0,0.7,0.7,barnema01
21,John Barnhill,1966,1966,1,45,926,139,363,,,59,98,,112,113,,,,76,337,.383,,.602,20.6,7.5,2.5,2.5,,,barnhjo01
22,Leo Barnhorst,1954,1954,1,17,185,12,57,,,5,6,,37,12,,,,30,29,.211,,.833,10.9,1.7,2.2,0.7,,,barnhle01
23,Dana Barros,2001,2002,2,89,1661,257,604,68,176,89,107,7,151,188,44,4,93,100,671,.425,.386,.832,18.7,7.5,1.7,2.1,0.5,0.0,barroda01
24,Jon Barry,2002,2003,2,162,3458,446,946,208,472,194,216,75,414,480,157,34,192,238,1294,.471,.441,.898,21.3,8.0,2.6,3.0,1.0,0.2,barryjo01
25,Aron Baynes,2016,2017,2,156,2396,337,663,0,2,205,259,251,717,83,38,91,117,317,879,.508,.000,.792,15.4,5.6,4.6,0.5,0.2,0.6,baynear01
26,Malik Beasley,2025,2025,1,82,2283,461,1071,319,766,95,140,47,214,139,73,5,83,125,1336,.430,.416,.679,27.8,16.3,2.6,1.7,0.9,0.1,beaslma01
27,Corey Beck,1999,1999,1,8,30,4,8,0,0,2,2,3,5,0,2,0,2,5,10,.500,,1.000,3.8,1.3,0.6,0.0,0.3,0.0,beckco01
28,William Bedford,1988,1992,4,172,1469,254,589,6,20,91,145,121,317,52,19,88,87,218,605,.431,.300,.628,8.5,3.5,1.8,0.3,0.1,0.5,bedfowi01
29,Ron Behagen,1979,1979,1,1,1,0,0,,,0,0,0,0,0,0,0,1,1,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,behagro01
30,Walt Bellamy,1969,1970,2,109,3196,569,1085,,,416,665,,1113,154,,,,360,1554,.524,,.626,29.3,14.3,10.2,1.4,,,bellawa01
31,Kent Benson,1980,1986,7,398,10003,1590,3204,5,26,619,784,764,2437,734,353,348,641,1160,3804,.496,.192,.790,25.1,9.6,6.1,1.8,0.9,0.9,bensoke01
32,Saddiq Bey,2021,2023,3,204,6113,974,2433,487,1363,514,610,209,1001,412,175,42,210,324,2949,.400,.357,.843,30.0,14.5,4.9,2.0,0.9,0.2,beysa01
33,Don Bielke,1956,1956,1,7,38,5,9,,,4,7,,9,1,,,,9,14,.556,,.571,5.4,2.0,1.3,0.1,,,bielkdo01
34,Chauncey Billups,2003,2014,8,482,16310,2357,5583,890,2240,2336,2620,232,1559,2984,495,76,1002,986,7940,.422,.397,.892,33.8,16.5,3.2,6.2,1.0,0.2,billuch01
35,Dave Bing,1967,1975,9,675,26052,5772,13119,,,3691,4789,194,2828,4330,225,43,,1956,15235,.440,,.771,38.6,22.6,4.2,6.4,1.4,0.3,bingda01
36,Charlie Black,1949,1950,2,53,,171,580,,,170,271,,,100,,,,204,512,.295,,.627,,9.7,,1.9,,,blackch01
37,Norman Black,1981,1981,1,3,28,3,10,0,0,2,8,0,2,2,1,0,1,2,8,.300,,.250,9.3,2.7,0.7,0.7,0.3,0.0,blackno01
38,Steve Blake,2016,2016,1,58,986,93,240,52,151,16,20,9,89,200,24,5,81,70,254,.388,.344,.800,17.0,4.4,1.5,3.4,0.4,0.1,blakest01
39,Will Blalock,2007,2007,1,14,166,9,30,1,5,6,6,6,15,17,5,0,12,9,25,.300,.200,1.000,11.9,1.8,1.1,1.2,0.4,0.0,blalowi01
40,Lance Blanks,1991,1992,2,81,403,51,116,8,32,18,25,13,42,45,23,3,32,61,128,.440,.250,.720,5.0,1.6,0.5,0.6,0.3,0.0,blankla01
41,Buddy Boeheim,2023,2024,2,20,174,14,56,12,50,10,12,5,16,7,2,1,0,11,50,.250,.240,.833,8.7,2.5,0.8,0.4,0.1,0.1,boehebu01
42,Bojan Bogdanović,2023,2024,2,87,2814,629,1307,231,560,349,407,49,317,223,57,12,198,170,1838,.481,.413,.857,32.3,21.1,3.6,2.6,0.7,0.1,bogdabo02
43,Doug Bolstorff,1958,1958,1,3,21,2,5,,,0,0,,0,0,,,,1,4,.400,,,7.0,1.3,0.0,0.0,,,bolstdo01
44,Walter Bond,1995,1995,1,5,51,3,12,1,4,3,4,1,5,7,1,0,3,10,10,.250,.250,.750,10.2,2.0,1.0,1.4,0.2,0.0,bondwa01
45,Jordan Bone,2020,2020,1,10,53,5,20,2,10,0,0,0,4,8,1,0,2,6,12,.250,.200,,5.3,1.2,0.4,0.8,0.1,0.0,bonejo01
46,Jim Bostic,1978,1978,1,4,48,12,22,,,2,5,8,16,3,0,0,3,5,26,.545,,.400,12.0,6.5,4.0,0.8,0.0,0.0,bostiji01
47,Don Boven,1953,1953,1,17,377,36,111,,,32,43,,58,21,,,,57,104,.324,,.744,22.2,6.1,3.4,1.2,,,bovendo01
48,Dennis Boyd,1979,1979,1,5,40,3,12,,,0,0,0,2,7,0,0,6,5,6,.250,,,8.0,1.2,0.4,1.4,0.0,0.0,boydde01
49,Avery Bradley,2018,2018,1,40,1268,233,570,74,194,61,80,19,94,83,46,7,93,80,601,.409,.381,.763,31.7,15.0,2.4,2.1,1.2,0.2,bradlav01
50,Jim Brewer,1979,1979,1,25,310,27,60,,,3,15,34,105,13,13,10,19,38,57,.450,,.200,12.4,2.3,4.2,0.5,0.5,0.4,breweji01
51,Primož Brezec,2008,2008,1,17,98,10,13,0,0,7,14,7,19,4,2,2,5,23,27,.769,,.500,5.8,1.6,1.1,0.2,0.1,0.1,brezepr01
52,Frankie Brian,1952,1956,5,306,7616,1034,2909,,,1029,1255,,659,683,,,,720,3097,.355,,.820,24.9,10.1,2.2,2.2,,,brianfr01
53,Wayman Britt,1978,1978,1,7,16,3,10,,,3,4,1,4,2,1,0,1,3,9,.300,,.750,2.3,1.3,0.6,0.3,0.1,0.0,brittwa01
54,Bruce Brown,2019,2020,2,132,3083,323,761,57,189,133,179,109,459,321,103,65,146,340,836,.424,.302,.743,23.4,6.3,3.5,2.4,0.8,0.5,brownbr01
55,Kwame Brown,2009,2010,2,106,1659,152,293,0,1,96,220,144,467,54,39,36,93,231,400,.519,.000,.436,15.7,3.8,4.4,0.5,0.4,0.3,brownkw01
56,Marcus Brown,2000,2000,1,6,45,4,14,0,7,2,2,3,7,3,0,0,3,8,10,.286,.000,1.000,7.5,1.7,1.2,0.5,0.0,0.0,brownma01
57,Roger Brown,1976,1977,2,72,776,50,128,,,32,44,78,220,24,21,43,,144,132,.391,,.727,10.8,1.8,3.1,0.3,0.3,0.6,brownro02
58,Troy Brown Jr.,2024,2024,1,22,417,32,108,16,57,13,15,11,72,25,16,1,12,16,93,.296,.281,.867,19.0,4.2,3.3,1.1,0.7,0.0,browntr01
59,Jud Buechler,1999,2001,3,165,2450,231,560,111,308,24,37,79,318,129,83,39,59,216,597,.413,.360,.649,14.8,3.6,1.9,0.8,0.5,0.2,buechju01
60,Reggie Bullock,2016,2019,4,174,3983,546,1213,289,701,114,135,74,409,260,99,23,119,200,1495,.450,.412,.844,22.9,8.6,2.4,1.5,0.6,0.1,bullore01
61,Bill Buntin,1966,1966,1,42,713,118,299,,,88,143,,252,36,,,,119,324,.395,,.615,17.0,7.7,6.0,0.9,,,buntibi01
62,Alec Burks,2023,2024,2,94,2023,360,865,198,486,274,322,35,268,182,59,19,90,162,1192,.416,.407,.851,21.5,12.7,2.9,1.9,0.6,0.2,burksal01
63,Art Burris,1951,1952,2,62,245,46,188,,,28,48,,155,38,,,,90,120,.245,,.583,8.4,1.9,2.5,0.6,,,burriar01
64,Donnie Butcher,1964,1966,3,138,2995,353,841,,,261,428,,495,330,,,,419,967,.420,,.610,21.7,7.0,3.6,2.4,,,butchdo01
65,Caron Butler,2015,2015,1,78,1623,161,396,83,219,55,61,21,196,79,43,4,49,120,460,.407,.379,.902,20.8,5.9,2.5,1.0,0.6,0.1,butleca01
66,Dwight Buycks,2018,2018,1,29,427,82,198,15,45,36,41,12,41,59,19,2,39,39,215,.414,.333,.878,14.7,7.4,1.4,2.0,0.7,0.1,buyckdw01
67,Will Bynum,2009,2014,6,338,6382,1086,2446,82,291,591,735,120,543,1148,248,28,556,651,2845,.444,.282,.804,18.9,8.4,1.6,3.4,0.7,0.1,bynumwi01
68,Barney Cable,1959,1960,2,38,387,65,186,,,27,39,,136,18,,,,49,157,.349,,.692,10.2,4.1,3.6,0.5,,,cableba01
69,José Calderón,2013,2019,2,77,1519,170,357,65,155,34,39,17,130,300,46,5,86,105,439,.476,.419,.872,19.7,5.7,1.7,3.9,0.6,0.1,caldejo01
70,Joe Caldwell,1965,1966,2,99,2259,433,1114,,,189,298,,631,183,,,,234,1055,.389,,.634,22.8,10.7,6.4,1.8,,,caldwjo01
71,Kentavious Caldwell-Pope,2014,2017,4,314,9488,1345,3320,479,1435,496,632,209,941,495,367,59,313,591,3665,.405,.334,.785,30.2,11.7,3.0,1.6,1.2,0.2,caldwke01
72,Elden Campbell,2004,2005,2,95,1232,177,430,0,2,125,175,77,291,61,29,56,91,184,479,.412,.000,.714,13.0,5.0,3.1,0.6,0.3,0.6,campbel01
73,Tony Campbell,1985,1987,3,178,2249,481,1015,2,13,138,182,145,383,88,102,11,189,311,1102,.474,.154,.758,12.6,6.2,2.2,0.5,0.6,0.1,campbto01
74,Brian Cardinal,2001,2002,2,23,169,16,44,3,12,13,20,10,29,5,8,2,9,32,48,.364,.250,.650,7.3,2.1,1.3,0.2,0.3,0.1,cardibr01
75,Bob Carpenter,1950,1951,2,87,,239,741,,,237,314,,62,108,,,,204,715,.323,,.755,,8.2,3.0,1.2,,,carpebo01
76,Kenny Carr,1982,1982,1,28,444,77,168,0,1,53,82,53,137,23,6,6,40,69,207,.458,.000,.646,15.9,7.4,4.9,0.8,0.2,0.2,carrke01
77,M.L. Carr,1977,1979,3,241,8406,1420,2931,,,728,985,632,1777,628,509,131,465,809,3568,.484,,.739,34.9,14.8,7.4,2.6,2.1,0.5,carrml01
78,George Carter,1968,1968,1,1,5,1,2,,,1,1,,0,1,,,,0,3,.500,,1.000,5.0,3.0,0.0,1.0,,,cartege01
79,Cornelius Cash,1977,1977,1,6,49,9,23,,,3,6,8,16,1,2,1,,8,21,.391,,.500,8.2,3.5,2.7,0.2,0.3,0.2,cashco01
80,Kelvin Cato,2006,2006,1,4,34,5,12,0,0,0,0,1,7,2,0,2,2,4,10,.417,,,8.5,2.5,1.8,0.5,0.0,0.5,catoke01
81,Malcolm Cazalon,2024,2024,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3.0,0.0,0.0,0.0,0.0,0.0,cazalma01
82,Cedric Ceballos,2001,2001,1,13,166,28,71,11,40,8,10,7,26,7,6,3,9,19,75,.394,.275,.800,12.8,5.8,2.0,0.5,0.5,0.2,cebalce01
83,Len Chappell,1968,1968,1,57,999,220,428,,,130,184,,346,48,,,,113,570,.514,,.707,17.5,10.0,6.1,0.8,,,chapple01
84,Pete Chilcutt,1994,1994,1,30,391,51,120,3,14,10,13,29,100,15,10,11,18,48,115,.425,.214,.769,13.0,3.8,3.3,0.5,0.3,0.4,chilcpe01
85,Randolph Childress,1997,1997,1,4,30,4,10,2,3,0,0,0,1,2,2,0,5,5,10,.400,.667,,7.5,2.5,0.3,0.5,0.5,0.0,childra01
86,Archie Clark,1976,1976,1,79,1589,250,577,,,100,116,27,137,218,62,4,,157,600,.433,,.862,20.1,7.6,1.7,2.8,0.8,0.1,clarkar01
87,Mateen Cleaves,2001,2001,1,78,1268,160,400,5,17,97,137,26,132,207,49,1,139,153,422,.400,.294,.708,16.3,5.4,1.7,2.7,0.6,0.0,cleavma01
88,Nat Clifton,1958,1958,1,68,1435,217,597,,,91,146,,403,76,,,,202,525,.363,,.623,21.1,7.7,5.9,1.1,,,cliftna01
89,Bill Closs,1952,1952,1,57,1120,120,389,,,107,157,,204,76,,,,125,347,.308,,.682,19.6,6.1,3.6,1.3,,,clossbi01
90,Ben Coleman,1994,1994,1,9,77,12,25,0,0,4,8,10,26,0,2,2,7,9,28,.480,,.500,8.6,3.1,2.9,0.0,0.2,0.2,colembe01
91,Derrick Coleman,2005,2005,1,5,50,3,14,0,2,3,3,3,15,0,0,0,2,6,9,.214,.000,1.000,10.0,1.8,3.0,0.0,0.0,0.0,colemde01
92,Ed Conlin,1959,1960,2,85,1990,368,1006,,,222,301,,437,143,,,,190,958,.366,,.738,23.4,11.3,5.1,1.7,,,conlied01
93,Tyler Cook,2021,2021,1,28,421,68,100,1,2,17,35,27,93,15,8,2,20,33,154,.680,.500,.486,15.0,5.5,3.3,0.5,0.3,0.1,cookty01
94,Chuck Cooper,1956,1956,1,32,570,43,136,,,38,49,,101,28,,,,69,124,.316,,.776,17.8,3.9,3.2,0.9,,,coopech01
95,Ray Corley,1953,1953,1,8,65,3,24,,,5,6,,5,5,,,,18,11,.125,,.833,8.1,1.4,0.6,0.6,,,corlera01
96,Ron Crevier,1986,1986,1,2,3,0,2,0,0,0,2,1,1,0,0,0,0,2,0,.000,,.000,1.5,0.0,0.5,0.0,0.0,0.0,creviro01
97,Dillard Crocker,1949,1949,1,2,,1,4,,,4,6,,,0,,,,3,6,.250,,.667,,3.0,,0.0,,,crockdi01
98,John Crotty,2000,2000,1,69,937,106,251,33,80,80,93,17,75,128,27,5,54,104,325,.422,.413,.860,13.6,4.7,1.1,1.9,0.4,0.1,crottjo01
99,Cade Cunningham,2022,2025,4,208,7014,1730,3879,399,1177,729,855,159,1121,1530,215,125,794,582,4588,.446,.339,.853,33.7,22.1,5.4,7.4,1.0,0.6,cunnica01
100,Earl Cureton,1984,1986,3,234,4566,573,1169,0,6,230,414,453,1210,256,138,131,319,598,1376,.490,.000,.556,19.5,5.9,5.2,1.1,0.6,0.6,curetea01
101,Bill Curley,1995,1995,1,53,595,58,134,0,0,27,36,54,124,25,21,21,25,128,143,.433,,.750,11.2,2.7,2.3,0.5,0.4,0.4,curlebi01
102,Michael Curry,1996,2003,6,432,8529,713,1575,71,221,449,543,121,719,519,205,36,288,969,1946,.453,.321,.827,19.7,4.5,1.7,1.2,0.5,0.1,currymi01
103,Adrian Dantley,1987,1989,3,192,6221,1303,2484,1,8,1287,1541,241,723,426,125,23,397,436,3894,.525,.125,.835,32.4,20.3,3.8,2.2,0.7,0.1,dantlad01
104,Gigi Datome,2014,2015,2,37,255,39,109,8,43,8,10,15,50,13,7,1,13,21,94,.358,.186,.800,6.9,2.5,1.4,0.4,0.2,0.0,datomlu01
105,Kornél Dávid,2001,2001,1,10,69,10,22,0,0,0,0,6,19,3,4,1,4,8,20,.455,,,6.9,2.0,1.9,0.3,0.4,0.1,davidko01
106,Dale Davis,2006,2007,2,74,642,42,98,0,1,25,41,80,190,18,10,43,19,82,109,.429,.000,.610,8.7,1.5,2.6,0.2,0.1,0.6,davisda01
107,Hubert Davis,2003,2004,2,46,351,31,81,12,37,5,6,6,36,30,5,0,12,27,79,.383,.324,.833,7.6,1.7,0.8,0.7,0.1,0.0,davishu01
108,Jim Davis,1972,1975,4,282,3480,487,1051,,,311,468,198,1035,270,89,66,,519,1285,.463,,.665,12.3,4.6,3.7,1.0,0.6,0.4,davisji01
109,Darryl Dawkins,1988,1989,2,16,55,10,21,0,0,11,21,3,7,2,0,2,7,17,31,.476,,.524,3.4,1.9,0.4,0.1,0.0,0.1,dawkida01
110,Johnny Dawkins,1995,1995,1,50,1170,125,270,25,73,50,55,28,113,205,52,1,86,74,325,.463,.342,.909,23.4,6.5,2.3,4.1,1.0,0.0,dawkijo01
111,Austin Daye,2010,2013,4,206,3312,446,1090,132,369,178,225,122,602,166,91,94,160,384,1202,.409,.358,.791,16.1,5.8,2.9,0.8,0.4,0.5,dayeau01
112,Dave DeBusschere,1963,1969,7,440,15235,2783,6553,,,1530,2222,,4947,1152,,,,1485,7096,.425,,.689,34.6,16.1,11.2,2.6,,,debusda01
113,Archie Dees,1960,1961,2,101,1552,324,752,,,204,251,,491,60,,,,238,852,.431,,.813,15.4,8.4,4.9,0.6,,,deesar01
114,Bison Dele,1998,1999,2,127,3796,747,1471,1,4,279,398,315,967,165,105,95,292,433,1774,.508,.250,.701,29.9,14.0,7.6,1.3,0.8,0.7,delebi01
115,Carlos Delfino,2005,2007,3,180,2557,289,719,75,233,138,196,108,434,170,89,29,120,227,791,.402,.322,.704,14.2,4.4,2.4,0.9,0.5,0.2,delfica01
116,Tony Delk,2006,2006,1,23,378,71,160,20,47,18,25,13,51,33,13,1,19,28,180,.444,.426,.720,16.4,7.8,2.2,1.4,0.6,0.0,delkto01
117,Fennis Dembo,1989,1989,1,31,74,14,42,0,4,8,10,8,23,5,1,0,7,15,36,.333,.000,.800,2.4,1.2,0.7,0.2,0.0,0.0,dembofe01
118,Corky Devlin,1956,1957,2,140,2777,390,1043,,,243,335,,317,279,,,,233,1023,.374,,.725,19.8,7.3,2.3,2.0,,,devlico01
119,Cheick Diallo,2022,2022,1,3,31,3,8,0,0,5,6,4,12,0,1,0,1,6,11,.375,,.833,10.3,3.7,4.0,0.0,0.3,0.0,diallch01
120,Hamidou Diallo,2021,2023,3,134,2730,557,1074,44,155,223,356,148,578,152,134,45,156,318,1381,.519,.284,.626,20.4,10.3,4.3,1.1,1.0,0.3,diallha01
121,Henry Dickerson,1976,1976,1,17,112,9,29,,,10,16,3,3,8,2,1,,17,28,.310,,.625,6.6,1.6,0.2,0.5,0.1,0.1,dickehe01
122,Spencer Dinwiddie,2015,2016,2,46,614,70,223,13,75,50,67,8,65,126,22,6,40,73,203,.314,.173,.746,13.3,4.4,1.4,2.7,0.5,0.1,dinwisp01
123,Terry Dischinger,1965,1972,6,452,11761,2167,4255,,,1178,1565,,2331,716,,,,1421,5512,.509,,.753,26.0,12.2,5.2,1.6,,,dischte01
124,Juan Dixon,2008,2008,1,17,244,47,98,13,33,3,7,6,28,32,0,0,19,24,110,.480,.394,.429,14.4,6.5,1.6,1.9,0.0,0.0,dixonju01
125,Leon Douglas,1977,1980,4,309,7616,1129,2332,0,1,681,1087,781,2273,375,170,246,514,1157,2939,.484,,.626,24.6,9.5,7.4,1.2,0.6,0.8,douglle01
126,Sekou Doumbouya,2020,2021,2,94,1623,199,518,54,213,76,110,59,261,66,44,17,79,174,528,.384,.254,.691,17.3,5.6,2.8,0.7,0.5,0.2,doumbse01
127,Sonny Dove,1968,1969,2,57,398,69,175,,,36,62,,114,23,,,,76,174,.394,,.581,7.0,3.1,2.0,0.4,,,doveso01
128,Danny Doyle,1963,1963,1,4,25,6,12,,,4,5,,8,3,,,,4,16,.500,,.800,6.3,4.0,2.0,0.8,,,doyleda01
129,Larry Drew,1981,1981,1,76,1581,197,484,4,17,106,133,24,120,249,88,7,166,125,504,.407,.235,.797,20.8,6.6,1.6,3.3,1.2,0.1,drewla01
130,Terry Driscoll,1971,1971,1,69,1255,132,318,,,108,154,,402,54,,,,212,372,.415,,.701,18.2,5.4,5.8,0.8,,,driscte01
131,Andre Drummond,2013,2020,8,591,18365,3603,6655,11,89,1314,2855,2834,8199,764,823,927,1143,1882,8531,.541,.124,.460,31.1,14.4,13.9,1.3,1.4,1.6,drumman01
132,Terry Duerod,1980,1980,1,67,1331,282,598,15,53,45,66,29,98,117,41,11,79,102,624,.472,.283,.682,19.9,9.3,1.5,1.7,0.6,0.2,duerote01
133,Bob Duffy,1964,1965,2,46,632,92,218,,,44,63,,58,79,,,,52,228,.422,,.698,13.7,5.0,1.3,1.7,,,duffybo02
134,Walter Dukes,1958,1963,6,422,11515,1535,4179,,,1510,2154,,4986,515,,,,1776,4580,.367,,.701,27.3,10.9,11.8,1.2,,,dukeswa01
135,Joe Dumars,1986,1999,14,1018,35139,5994,13026,990,2592,3423,4059,671,2203,4612,902,83,2084,1826,16401,.460,.382,.843,34.5,16.1,2.2,4.5,0.9,0.1,dumarjo01
136,Ronald Dupree,2005,2008,3,67,569,72,158,1,2,32,56,39,112,29,12,11,25,72,177,.456,.500,.571,8.5,2.6,1.7,0.4,0.2,0.2,duprero01
137,Jalen Duren,2023,2025,3,206,5481,985,1508,0,6,401,580,698,2111,431,131,195,357,625,2371,.653,.000,.691,26.6,11.5,10.2,2.1,0.6,0.9,durenja01
138,Bill Ebben,1958,1958,1,8,50,6,28,,,3,4,,8,4,,,,5,15,.214,,.750,6.3,1.9,1.0,0.5,,,ebbenbi01
139,Al Eberhard,1975,1978,4,220,4138,566,1308,,,358,449,270,760,175,158,35,23,544,1490,.433,,.797,18.8,6.8,3.5,0.8,0.7,0.2,eberhal01
140,Dike Eddleman,1952,1953,2,85,1859,284,800,,,151,276,,273,127,,,,279,719,.355,,.547,21.9,8.5,3.2,1.5,,,eddledi01
141,Carsen Edwards,2022,2022,1,4,79,9,30,4,16,1,1,2,6,14,2,0,5,4,23,.300,.250,1.000,19.8,5.8,1.5,3.5,0.5,0.0,edwarca01
142,James Edwards,1988,1991,4,256,5768,1104,2243,1,7,658,904,293,930,182,48,103,353,827,2867,.492,.143,.728,22.5,11.2,3.6,0.7,0.2,0.4,edwarja01
143,Johnny Egan,1962,1964,3,128,2286,343,853,,,174,221,,207,332,,,,211,860,.402,,.787,17.9,6.7,1.6,2.6,,,eganjo01
144,Henry Ellenson,2017,2019,3,59,500,80,220,32,99,31,39,18,131,28,6,1,32,30,223,.364,.323,.795,8.5,3.8,2.2,0.5,0.1,0.0,ellenhe01
145,Wayne Ellington,2019,2021,2,74,1776,264,611,197,492,53,68,20,145,110,48,12,59,111,778,.432,.400,.779,24.0,10.5,2.0,1.5,0.6,0.2,ellinwa01
146,Sean Elliott,1994,1994,1,73,2409,360,791,26,87,139,173,68,263,197,54,27,129,174,885,.455,.299,.803,33.0,12.1,3.6,2.7,0.7,0.4,elliose01
147,Kim English,2013,2013,1,41,407,42,112,14,50,21,29,8,37,26,16,3,19,46,119,.375,.280,.724,9.9,2.9,0.9,0.6,0.4,0.1,engliki01
148,James Ennis III,2018,2018,1,27,551,74,162,21,69,33,43,20,67,22,15,6,18,53,202,.457,.304,.767,20.4,7.5,2.5,0.8,0.6,0.2,ennisja01
149,Earl Evans,1980,1980,1,36,381,63,140,7,18,24,42,26,75,37,14,1,36,64,157,.450,.389,.571,10.6,4.4,2.1,1.0,0.4,0.0,evansea01
150,Maurice Evans,2006,2006,1,80,1139,154,341,43,116,52,65,76,163,60,41,15,39,122,403,.452,.371,.800,14.2,5.0,2.0,0.8,0.5,0.2,evansma01
151,Tosan Evbuomwan,2024,2024,1,13,293,32,56,10,24,17,25,10,46,10,6,4,8,18,91,.571,.417,.680,22.5,7.0,3.5,0.8,0.5,0.3,evbuoto01
152,Dick Farley,1959,1959,1,70,1280,177,448,,,137,186,,195,124,,,,130,491,.395,,.737,18.3,7.0,2.8,1.8,,,farledi01
153,Kay Felder,2018,2018,1,2,6,1,4,0,1,0,0,2,4,0,0,0,1,0,2,.250,.000,,3.0,1.0,2.0,0.0,0.0,0.0,feldeka01
154,Jake Fendley,1952,1953,2,103,1031,86,250,,,115,155,,126,94,,,,200,287,.344,,.742,10.0,2.8,1.2,0.9,,,fendlja01
155,Bob Ferry,1961,1964,4,312,7576,1485,3369,,,881,1295,,1968,538,,,,824,3851,.441,,.680,24.3,12.3,6.3,1.7,,,ferrybo01
156,Malachi Flynn,2024,2024,1,24,342,71,165,24,76,26,38,8,43,51,19,2,27,21,192,.430,.316,.684,14.3,8.0,1.8,2.1,0.8,0.1,flynnma01
157,Simone Fontecchio,2024,2025,2,91,1721,241,563,119,328,92,110,64,285,93,45,17,71,124,693,.428,.363,.836,18.9,7.6,3.1,1.0,0.5,0.2,fontesi01
158,Chris Ford,1973,1979,7,485,12985,1803,3901,,,514,712,504,1686,1698,785,108,242,1084,4120,.462,,.722,26.8,8.5,3.5,3.5,1.9,0.3,fordch01
159,Fred Foster,1973,1973,1,63,1460,243,627,,,61,87,,183,94,,,,150,547,.388,,.701,23.2,8.7,2.9,1.5,,,fostefr01
160,Evan Fournier,2024,2024,1,29,541,75,201,31,115,27,34,5,54,45,25,7,20,44,208,.373,.270,.794,18.7,7.2,1.9,1.6,0.9,0.2,fournev01
